energy, R, scale, proportional
4.14700, 4.24000, 0.0581476, 0.246546
4.15000, 4.21000, 0.0580636, 0.244448
4.15300, 4.28000, 0.0579797, 0.248153
4.15900, 4.11000, 0.0578126, 0.23761
4.16000, 4.12000, 0.0577848, 0.238073
4.16500, 4.00000, 0.0576461, 0.230584
4.17000, 4.12000, 0.057508, 0.236933
4.17100, 4.14000, 0.0574804, 0.237969
4.17700, 4.06000, 0.0573154, 0.2327
4.18000, 4.18000, 0.0572331, 0.239234
4.18200, 4.38000, 0.0571784, 0.250441
4.18500, 4.14000, 0.0570964, 0.236379
4.19000, 3.87000, 0.0569603, 0.220436
4.19000, 4.01000, 0.0569603, 0.228411
4.19500, 3.91000, 0.0568246, 0.222184
4.20000, 3.87000, 0.0566893, 0.219388
4.20100, 3.73000, 0.0566624, 0.211351
4.20800, 3.71000, 0.056474, 0.209519
4.21000, 3.20000, 0.0564204, 0.180545
4.21200, 3.69000, 0.0563668, 0.207993
4.21400, 3.55000, 0.0563133, 0.199912
4.22000, 3.31000, 0.0561533, 0.185867
4.22000, 3.62000, 0.0561533, 0.203275
4.22600, 2.95000, 0.0559939, 0.165182
4.23000, 3.21000, 0.0558881, 0.179401
4.23200, 3.02000, 0.0558353, 0.168623
4.23800, 3.06000, 0.0556773, 0.170373
4.24000, 3.24000, 0.0556248, 0.180224
4.24400, 3.02000, 0.05552, 0.16767
4.24500, 2.97000, 0.0554938, 0.164817
4.25000, 2.71000, 0.0553633, 0.150035
4.25000, 3.11000, 0.0553633, 0.17218
4.25500, 2.88000, 0.0552333, 0.159072
4.25600, 3.02000, 0.0552073, 0.166726
4.26000, 2.97000, 0.0551037, 0.163658
4.26200, 3.09000, 0.055052, 0.170111
4.26500, 3.04000, 0.0549746, 0.167123
4.26800, 2.91000, 0.0548973, 0.159751
4.27000, 3.26000, 0.0548459, 0.178798
4.27400, 2.92000, 0.0547433, 0.15985
4.28000, 3.07000, 0.0545899, 0.167591
4.28000, 3.08000, 0.0545899, 0.168137
4.29200, 2.98000, 0.0542851, 0.16177
4.30000, 3.11000, 0.0540833, 0.168199
4.30400, 3.34000, 0.0539828, 0.180303
4.31600, 3.23000, 0.053683, 0.173396
4.32000, 2.96000, 0.0535837, 0.158608
4.32800, 3.32000, 0.0533858, 0.177241
4.34000, 3.27000, 0.053091, 0.173607
4.34000, 3.43000, 0.053091, 0.182102
4.35000, 3.49000, 0.0528471, 0.184437
4.35200, 3.44000, 0.0527986, 0.181627
4.36000, 3.47000, 0.052605, 0.182539
4.36400, 3.65000, 0.0525086, 0.191656
4.37600, 3.75000, 0.052221, 0.195829
4.38000, 3.50000, 0.0521257, 0.18244
4.38200, 3.86000, 0.0520781, 0.201022
4.38800, 3.82000, 0.0519358, 0.198395
4.39000, 3.48000, 0.0518885, 0.180572
4.39400, 3.99000, 0.0517941, 0.206658
4.40000, 3.91000, 0.0516529, 0.201963
4.40000, 4.00000, 0.0516529, 0.206612
4.40600, 3.79000, 0.0515123, 0.195232
4.41000, 3.79000, 0.0514189, 0.194878
4.41200, 3.94000, 0.0513723, 0.202407
4.41800, 4.03000, 0.0512329, 0.206468
4.42000, 3.68000, 0.0511865, 0.188366
4.42400, 4.02000, 0.051094, 0.205398
4.43000, 4.02000, 0.0509557, 0.204842
4.43000, 4.09000, 0.0509557, 0.208409
4.43600, 4.05000, 0.0508179, 0.205813
4.44000, 3.85000, 0.0507264, 0.195297
4.44200, 3.89000, 0.0506807, 0.197148
4.44800, 3.92000, 0.0505441, 0.198133
4.45000, 3.75000, 0.0504987, 0.18937
4.46000, 3.66000, 0.0502725, 0.183997
4.46000, 3.85000, 0.0502725, 0.193549
4.47200, 3.84000, 0.050003, 0.192012
4.48000, 3.54000, 0.0498246, 0.176379
4.48400, 3.61000, 0.0497358, 0.179546
4.49600, 3.72000, 0.0494706, 0.184031
4.50000, 3.49000, 0.0493827, 0.172346
4.52000, 3.25000, 0.0489467, 0.159077
4.54000, 3.23000, 0.0485164, 0.156708
4.56000, 3.62000, 0.0480917, 0.174092
4.60000, 3.31000, 0.047259, 0.156427
4.60000, 3.58000, 0.047259, 0.169187
4.80000, 3.66000, 0.0434028, 0.158854
5.00000, 3.47000, 0.04, 0.1388
5.20000, 3.44000, 0.0369822, 0.127219
6.00000, 3.44000, 0.0277778, 0.0955556
6.50000, 3.62000, 0.0236686, 0.0856805
7.00000, 3.71000, 0.0204082, 0.0757143
7.30000, 3.57000, 0.0187652, 0.0669919
7.40000, 3.86000, 0.0182615, 0.0704894
7.44000, 3.37000, 0.0180657, 0.0608813
7.50000, 3.89000, 0.0177778, 0.0691556
7.60000, 3.57000, 0.017313, 0.0618075
7.70000, 3.94000, 0.0168663, 0.066453
7.80000, 3.59000, 0.0164366, 0.0590072
7.90000, 3.66000, 0.0160231, 0.0586444
8.00000, 3.67000, 0.015625, 0.0573437
8.10000, 3.73000, 0.0152416, 0.0568511
8.20000, 3.64000, 0.0148721, 0.0541344
8.30000, 3.40000, 0.0145159, 0.049354
8.40000, 3.63000, 0.0141723, 0.0514456
8.50000, 3.54000, 0.0138408, 0.0489965
